FunctionName,VersionCount
developer-hub-dev-basic-auth,4
user-service-stg-setLogoutRequired,3
user-service-stg-assignUserToOrganization,3
order-service-stg-getOrder,3
chat-service-dev-createSignedUrl,5
template-service-dev-createTemplateConfig,18
okr-management-apis-v1-dev-get-ObjectiveById,11
walkin-service-prd-createPatientTokensUtil,12
walkin-service-prd-getBlockByScheduleId,12
sso-integration-prd-pendingAppointmentReprocessWorker,7
prd_delete_org_role,10
payments-service-dev-createSetupIntent,9
dev_get_user_permissions,19
order-service-prd-swagger-ui,8
chat-service-prd-disconnect,23
device-service-stg-deviceDeleteMultiple,19
chat-service-prd-default,10
payments-service-stg-getOrder,19
device-service-stg-deviceReadingTimestampUpdate,16
partner-integration-dev-getServiceableLocations,4
sso-integration-dev-cancellationReconciliationWorker,29
chat-service-prd-schedulerService,22
walkin-service-prd-join,12
organization-service-stg-warmup-plugin-default,3
walkin-service-stg-getBlocksByIds,34
okr-management-apis-v1-dev-swagger-ui,6
user-service-prd-activateDeactivateUser,14
organization-service-stg-getOrganization,17
organization-service-stg-listOrganizationFiles,17
partner-integration-dev-getOrderStatus,4
device-service-stg-deviceRecommendationAdd,18
user-service-stg-getUserOrganization,42
stg_assign_user_role_v1,3
dev_get_role_permissions_v1,6
stg_handle_organization_created_v1,3
payments-service-stg-getOrderStatus,19
payments-service-stg-createOrder,19
sso-integration-prd-patientCreationEventConsumer,7
chat-service-prd-groupMessage,23
chat-service-prd-createGroup,23
walkin-service-prd-getTokenForScheduleIds,6
payments-service-dev-stripeWebhook,16
okr-management-apis-v1-dev-get-ObjectiveKeyResults,11
dev_logout,18
walkin-service-stg-getBlockById,33
device-service-stg-deviceUserRemove,18
device-service-prd-deviceUserAssign,8
device-service-dev-swagger-ui,18
cronjob-dev-sessionCheckScheduler,3
walkin-service-stg-updateStatus,34
bff-layer-stg-availabilityCheckConflicts,25
device-service-prd-deviceUserDelete,8
order-service-stg-listOrders,24
fairway-connect-apis-prd-updateEnrollmentTracking,9
chat-service-prd-processWebmVoiceRecording,20
order-service-prd-cancelOrder,8
payments-service-prd-stripeWebhook,7
user-service-prd-validateUsers,14
user-service-prd-listOrganizationUsers,14
sso-integration-prd-appointmentsToday,7
user-service-prd-createUser,14
dev_get_organizational_roles_v1,6
device-service-dev-deviceFileUpload,34
order-service-stg-markPaid,24
user-service-stg-friendFamilySearch,42
stg_get_assigned_users_v1,3
template-service-dev-getMasterTemplateVersions,23
device-service-stg-deviceMetadataUpdate,15
fairway-connect-apis-prd-enrollmentMetrics,8
user-service-prd-notificationConsumer,14
stg_delete_org_role_v1,3
clinic-details-apis-v3-dev-update-clinicEntry,17
partner-integration-dev-getConsolidatedReport,4
sso-integration-prd-scheduleCreationWorker,7
walkin-service-stg-cleanupOldTokens,33
user-service-dev-userRoleAssignmentRequested,42
fairway-connect-apis-dev-enrollmentOnStopBangPdfRequested,19
stg_token_stream_handler,38
stg_save_org_default_role,11
dev_save_org_default_role,22
payments-service-stg-getPayment,19
chat-service-prd-schedulerServiceQueueHandler,22
chat-service-prd-typingIndicator,23
walkin-service-prd-getBlockById,12
Telehealth-Scheduler-prd-autoStatusUpdate,17
payments-service-prd-storePaymentMethod,5
dev_sync_roles_handler,18
okr-management-apis-v1-dev-get-AllObjectives,11
user-service-prd-putAssignedPackages,14
user-service-prd-friendFamilySearch,14
device-service-stg-deviceGet,18
fairway-connect-apis-dev-enrollmentMetrics,41
user-service-stg-friendFamilyFetch,40
walkin-service-stg-reassign,34
walkin-service-stg-getTokenById,35
device-service-prd-swagger-ui,5
payments-service-prd-returnDeadlineCron,5
user-service-prd-setLogoutRequired,14
user-service-stg-v2UserList,45
alert-service-dev-health,28
chat-service-prd-assignDoctor,23
user-service-prd-friendFamilyDelete,14
user-service-prd-friendFamilyCheck,14
sso-integration-prd-appointmentProcessor,7
user-service-prd-assignUserToOrganization,14
chat-service-prd-transferUserChat,23
walkin-service-stg-createPatientTokensUtil,30
payments-service-prd-getOrderStatus,13
bff-layer-prd-availabilityScheduleConflicts,7
stg_role_stream_handler,8
walkin-service-prd-queues,12
stg_handle_user_created_v1,3
metadata-registry-service-stg-listMetadataAudit,4
bff-layer-prd-doctorDashboardInitial,3
metadata-registry-service-stg-getMetadataRelations,4
walkin-service-prd-swagger-ui,8
walkin-service-stg-squeezeinQueues,31
payments-service-stg-refund,19
fairway-connect-apis-prd-initiateReturn,9
payments-service-stg-completePayment,19
organization-service-stg-deleteOrganization,17
organization-service-prd-warmup-plugin-default,3
chat-service-prd-chatList,23
chat-service-prd-listDoctor,23
device-service-stg-swagger-ui,7
chat-service-prd-eventBridge,23
device-service-prd-deviceReadingTimestampUpdate,8
walkin-service-prd-allQueues,6
dev_handle_organization_created_v1,6
alert-service-dev-addAlertNote,47
alert-service-dev-updateAlertAssignment,44
fhir-gateway-dev-observationSearch,4
organization-service-prd-listOrganizationFiles,9
device-service-prd-deviceOrgAssign,8
chat-service-prd-voiceRecording,21
payments-service-stg-stripeWebhook,10
alert-service-dev-getAlertMetadata,33
chat-service-prd-deviceToken,23
fhir-gateway-dev-patientGet,4
chat-service-stg-closeUserSession,48
walkin-service-stg-swagger-json,21
device-service-dev-health,19
organization-service-prd-getOrganizationMetadata,9
dev_assign_user_role_v1,6
fairway-connect-apis-prd-createSetupIntent,8
order-service-stg-cancelOrder,24
metadata-registry-service-dev-patchMetadataValueDelete,24
Telehealth-Scheduler-prd-fetchUserAvailability,14
device-service-prd-swagger-json,5
template-service-dev-listOrgEnablementsByOrg,22
walkin-service-prd-createBlock,12
okr-management-apis-v1-dev-add-KeyResult,9
organization-service-stg-linkUnlinkOrganization,17
prd_get_organizational_roles,10
device-service-stg-deviceOrgRemove,20
organization-service-stg-uploadOrganizationFile,16
order-service-prd-refundPayment,8
prd_get_user_permissions,10
stg_user_role_handler,10
device-service-stg-deviceGlobalRegister,18
alert-service-dev-updateAlertPriority,43
stg_order_stream_handler,24
template-service-dev-listMasterTemplates,24
dev_get_user_permissions_v1,7
chat-service-prd-handleSessionClose,23
metadata-registry-service-stg-postMetadata,4
user-service-stg-inviteNotificationStreamHandler,32
user-service-prd-userReminderEvent,9
user-service-prd-listUserOrganizations,14
dev_save_org_role_v1,6
organization-service-prd-deleteOrganization,9
chat-service-stg-keepAlive,27
